变量名,含义,类型
体质名称,由体质标签映射得到,类别
年龄组名称,由年龄组映射得到,类别
性别名称,由性别映射得到,类别
吸烟史名称,由吸烟史映射得到,类别
饮酒史名称,由饮酒史映射得到,类别
血脂异常分型名称,由血脂异常分型标签映射得到,类别
TC异常,"TC 是否超出题面正常范围[3.1, 6.2]",布尔
TG异常,"TG 是否超出题面正常范围[0.56, 1.7]",布尔
LDL异常,"LDL-C 是否超出题面正常范围[2.07, 3.1]",布尔
HDL异常,"HDL-C 是否超出题面正常范围[1.04, 1.55]",布尔
血糖异常,"空腹血糖是否超出题面正常范围[3.9, 6.1]",布尔
尿酸异常,按性别分别判断血尿酸是否超出正常范围,布尔
BMI异常,"BMI 是否超出题面正常范围[18.5, 23.9]",布尔
血脂异常项数,TC/TG/LDL/HDL 异常个数,整数
代谢异常项数,血糖/尿酸/BMI 异常个数,整数
是否存在任一血脂异常,血脂异常项数是否>=1,整数(0/1)
活动能力分层,依据活动量表总分划分为低/中/高活动能力,类别
BMI极端低,BMI<12 的保守极端值标记,布尔
BMI极端高,BMI>35 的保守极端值标记,布尔
血糖极端低,空腹血糖<2.5 的保守极端值标记,布尔
血糖极端高,空腹血糖>11.1 的保守极端值标记,布尔
尿酸极端低,血尿酸<100 的保守极端值标记,布尔
尿酸极端高,血尿酸>600 的保守极端值标记,布尔
TC极端低,TC<2.0 的保守极端值标记,布尔
TC极端高,TC>10.0 的保守极端值标记,布尔
TG极端低,TG<0.10 的保守极端值标记,布尔
TG极端高,TG>8.0 的保守极端值标记,布尔
LDL极端低,LDL-C<1.0 的保守极端值标记,布尔
LDL极端高,LDL-C>6.0 的保守极端值标记,布尔
HDL极端低,HDL-C<0.50 的保守极端值标记,布尔
HDL极端高,HDL-C>2.50 的保守极端值标记,布尔
是否存在任一极端值,上述极端值标记中是否至少存在一项,整数(0/1)
